id,name,sub_name,brewery,sake_type,alcohol_content,raw_materials,polishing_rate,volume,brewery_address,manufactured_date,original_image_path_front,original_image_path_back,cropped_image_path_front,cropped_image_path_back,created_at
1,Beau Michelle,Snow fantasy in Summer (スノーファンタジー インサマー),伴野酒造株式会社,うすにごり生原酒 (夏季限定),9.0,米(国産)、米麹(国産米) ※酒造好適米100%使用,60%,500ml,長野県佐久市野沢123,2026.05,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\サンプル画像\1\IMG_8154.jpeg,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\サンプル画像\1\IMG_8155.jpeg,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\cropped_images\伴野酒造株式会社\id_001_Beau_Michelle_front.jpeg,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\cropped_images\伴野酒造株式会社\id_001_Beau_Michelle_back.jpeg,2026-07-19T10:51:00.984500
2,浪の音 玲瓏 -レイロウ-,Leiro (The sweetly ringing),有限会社佐々木酒造店,純米吟醸,15.0,米(国産)、米麹(国産米),55%,720ml,宮城県名取市閖上中央一丁目12番地の3,2026.06,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\サンプル画像\2\IMG_8137.jpeg,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\サンプル画像\2\IMG_8138.jpeg,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\cropped_images\有限会社佐々木酒造店\id_002_Leiro_front.jpeg,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\cropped_images\有限会社佐々木酒造店\id_002_Leiro_back.jpeg,2026-07-19T10:51:01.066899
3,越の初梅,元祖 雪中貯蔵酒,高の井酒造株式会社,純米吟醸,15.0,米（国産）、米麹（国産米）,55%,720ml,新潟県小千谷市東栄三丁目7番6号,不明,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\サンプル画像\３\IMG_8228.jpeg,,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\cropped_images\高の井酒造株式会社\id_003_Koshi_no_Hatsume_front.jpeg,,2026-07-19T10:51:01.116971
4,け・せら・せら,Ikekame,池亀酒造株式会社,非公開,13.0,米(国産)、米麹(国産米),非公開,720ml,福岡県久留米市三潴町田川,2026.04,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\サンプル画像\４\IMG_8342.jpeg,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\サンプル画像\４\IMG_8343.jpeg,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\cropped_images\池亀酒造株式会社\id_004_Ikekame_front.jpeg,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\cropped_images\池亀酒造株式会社\id_004_Ikekame_back.jpeg,2026-07-19T10:51:01.154781
5,廣戸川,特別純米,松崎酒造株式会社,特別純米,15.0,米(国産)、米麹(国産米),55%,720ml,福島県岩瀬郡天栄村大字下松本字要谷47-1,2026.05,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\サンプル画像\５\IMG_8271.jpeg,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\サンプル画像\５\IMG_8272.jpeg,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\cropped_images\松崎酒造株式会社\id_005_Hirotogawa_front.jpeg,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\cropped_images\松崎酒造株式会社\id_005_Hirotogawa_back.jpeg,2026-07-19T10:51:01.199664
6,正雪,これだれ,株式会社神沢川酒造場,純米吟醸,15.5,米(国産)、米麹(国産米),50%,1.8L,静岡県静岡市清水区由比181,2026.06,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\サンプル画像\６\IMG_8322.jpeg,,C:\Users\hitos\Antigravity-Playground\日本酒画像の切り取り\cropped_images\株式会社神沢川酒造場\id_006_Shosetsu_front.jpeg,,2026-07-19T10:51:01.265315
