id,competition_id,year,category,prize,entry_name,brand_id,product_id,brewery_id,status,confidence,source_id,evidence,competition_name,brand_name,brewery_name,is_gold_award
10873,5,2024,,最高金賞 (Grand Gold),ISONOSAWA,,121,992,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),ISONOSAWA,株式会社 いそのさわ,1
10874,5,2024,,金賞 (Gold Award),IWA5,,124,6075,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),IWA5,株式会社 白岩,1
10875,2,2024,,SAKE Trophy (世界1位),JIN JIN,,251,,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,JIN JIN,小野酒造（有）,1
10876,3,2024,,金賞 (Gold Award),Jazz Brew,,130,2688,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),Jazz Brew,株式会社八木酒造部,1
10877,2,2022,,SAKE Trophy (世界1位),KIRAMEKI,,6218,6756,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,KIRAMEKI,文本酒造,1
10878,5,2024,,最高金賞 (Grand Gold),KURAMOTO,,144,5781,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),KURAMOTO,倉本酒造 株式会社,1
10879,5,2021,,最高金賞 (Grand Gold),Masterpiece,,159,5989,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),Masterpiece,笑四季酒造株式会社,1
10880,3,2024,,金賞 (Gold Award),Mizuchi,,161,1929,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),Mizuchi,酒井酒造株式会社,1
10881,3,2020,,銀賞 (Silver Award),Monsoon,,159,5989,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),Monsoon,笑四季酒造株式会社,0
10882,2,2025,,Commended (推奨),NAMIとUMI,,166,4713,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,NAMIとUMI,角星,0
10883,4,2024,,金賞 (Gold),NIWARINGO,,173,,verified,0.98,,,SAKE COMPETITION,NIWARINGO,（株）井賀屋酒造場,1
10884,2,2025,,SAKE Trophy (世界1位),NY,,20104,7350,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,NY,森戸酒造,1
10885,4,2023,,第1位 (Gold 1st),Organic,,130,2688,verified,0.98,,,SAKE COMPETITION,Organic,株式会社八木酒造部,1
10886,5,2021,,金賞 (Gold Award),Rakes,,244,7197,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),Rakes,合資会社基山商店,1
10887,3,2022,,グランプリ (Grand Prix),Ryon,,203,1129,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),Ryon,若宮酒造株式会社,0
